,Município,AVG_IDADE,ID
451,210010 AFONSO CUNHA,27.2,210010
452,210015 AGUA DOCE DO MARANHAO,30.8,210015
453,210020 ALCANTARA,31.8,210020
454,210030 ALDEIAS ALTAS,27.6,210030
455,210040 ALTAMIRA DO MARANHAO,32.2,210040
456,210043 ALTO ALEGRE DO MARANHAO,29.2,210043
457,210047 ALTO ALEGRE DO PINDARE,29.7,210047
458,210050 ALTO PARNAIBA,31.0,210050
459,210055 AMAPA DO MARANHAO,28.5,210055
460,210060 AMARANTE DO MARANHAO,28.2,210060
461,210070 ANAJATUBA,32.3,210070
462,210080 ANAPURUS,29.0,210080
463,210083 APICUM-ACU,29.9,210083
464,210087 ARAGUANA,28.2,210087
465,210090 ARAIOSES,30.7,210090
466,210095 ARAME,27.8,210095
467,210100 ARARI,31.9,210100
468,210110 AXIXA,31.4,210110
469,210120 BACABAL,31.9,210120
470,210125 BACABEIRA,29.2,210125
471,210130 BACURI,31.7,210130
472,210135 BACURITUBA,32.6,210135
473,210140 BALSAS,28.7,210140
474,210150 BARAO DE GRAJAU,33.6,210150
475,210160 BARRA DO CORDA,31.4,210160
476,210170 BARREIRINHAS,27.5,210170
477,210173 BELAGUA,24.8,210173
478,210177 BELA VISTA DO MARANHAO,30.1,210177
479,210180 BENEDITO LEITE,35.0,210180
480,210190 BEQUIMAO,34.0,210190
481,210193 BERNARDO DO MEARIM,33.2,210193
482,210197 BOA VISTA DO GURUPI,27.2,210197
483,210200 BOM JARDIM,29.5,210200
484,210203 BOM JESUS DAS SELVAS,26.4,210203
485,210207 BOM LUGAR,29.8,210207
486,210210 BREJO,29.6,210210
487,210215 BREJO DE AREIA,27.9,210215
488,210220 BURITI,28.5,210220
489,210230 BURITI BRAVO,31.8,210230
490,210232 BURITICUPU,27.2,210232
491,210235 BURITIRANA,30.9,210235
492,210237 CACHOEIRA GRANDE,27.8,210237
493,210240 CAJAPIO,30.2,210240
494,210250 CAJARI,29.0,210250
495,210255 CAMPESTRE DO MARANHAO,30.2,210255
496,210260 CANDIDO MENDES,29.4,210260
497,210270 CANTANHEDE,30.2,210270
498,210275 CAPINZAL DO NORTE,32.8,210275
499,210280 CAROLINA,33.0,210280
500,210290 CARUTAPERA,28.5,210290
501,210300 CAXIAS,32.1,210300
502,210310 CEDRAL,33.5,210310
503,210312 CENTRAL DO MARANHAO,29.8,210312
504,210315 CENTRO DO GUILHERME,26.7,210315
505,210317 CENTRO NOVO DO MARANHAO,25.9,210317
506,210320 CHAPADINHA,29.4,210320
507,210325 CIDELANDIA,30.6,210325
508,210330 CODO,31.3,210330
509,210340 COELHO NETO,30.7,210340
510,210350 COLINAS,30.4,210350
511,210355 CONCEICAO DO LAGO-ACU,26.8,210355
512,210360 COROATA,30.9,210360
513,210370 CURURUPU,33.9,210370
514,210375 DAVINOPOLIS,30.9,210375
515,210380 DOM PEDRO,32.3,210380
516,210390 DUQUE BACELAR,29.1,210390
517,210400 ESPERANTINOPOLIS,32.8,210400
518,210405 ESTREITO,29.6,210405
519,210407 FEIRA NOVA DO MARANHAO,31.5,210407
520,210408 FERNANDO FALCAO,26.6,210408
521,210409 FORMOSA DA SERRA NEGRA,29.3,210409
522,210410 FORTALEZA DOS NOGUEIRAS,30.9,210410
523,210420 FORTUNA,31.5,210420
524,210430 GODOFREDO VIANA,29.3,210430
525,210440 GONCALVES DIAS,32.2,210440
526,210450 GOVERNADOR ARCHER,31.9,210450
527,210455 GOVERNADOR EDISON LOBAO,30.3,210455
528,210460 GOVERNADOR EUGENIO BARROS,31.4,210460
529,210462 GOVERNADOR LUIZ ROCHA,31.7,210462
530,210465 GOVERNADOR NEWTON BELLO,28.5,210465
531,210467 GOVERNADOR NUNES FREIRE,28.4,210467
532,210470 GRACA ARANHA,33.8,210470
533,210480 GRAJAU,28.3,210480
534,210490 GUIMARAES,34.5,210490
535,210500 HUMBERTO DE CAMPOS,27.5,210500
536,210510 ICATU,28.8,210510
537,210515 IGARAPE DO MEIO,28.3,210515
538,210520 IGARAPE GRANDE,33.6,210520
539,210530 IMPERATRIZ,32.5,210530
540,210535 ITAIPAVA DO GRAJAU,27.6,210535
541,210540 ITAPECURU MIRIM,29.9,210540
542,210542 ITINGA DO MARANHAO,31.5,210542
543,210545 JATOBA,30.1,210545
544,210547 JENIPAPO DOS VIEIRAS,27.5,210547
545,210550 JOAO LISBOA,31.9,210550
546,210560 JOSELANDIA,31.5,210560
547,210565 JUNCO DO MARANHAO,30.0,210565
548,210570 LAGO DA PEDRA,31.1,210570
549,210580 LAGO DO JUNCO,31.2,210580
550,210590 LAGO VERDE,29.6,210590
551,210592 LAGOA DO MATO,31.5,210592
552,210594 LAGO DOS RODRIGUES,33.9,210594
553,210596 LAGOA GRANDE DO MARANHAO,28.4,210596
554,210598 LAJEADO NOVO,32.5,210598
555,210600 LIMA CAMPOS,33.9,210600
556,210610 LORETO,31.6,210610
557,210620 LUIS DOMINGUES,30.0,210620
558,210630 MAGALHAES DE ALMEIDA,30.5,210630
559,210632 MARACACUME,28.5,210632
560,210635 MARAJA DO SENA,26.0,210635
561,210637 MARANHAOZINHO,30.2,210637
562,210640 MATA ROMA,28.5,210640
563,210650 MATINHA,31.4,210650
564,210660 MATOES,29.9,210660
565,210663 MATOES DO NORTE,29.1,210663
566,210667 MILAGRES DO MARANHAO,28.3,210667
567,210670 MIRADOR,30.6,210670
568,210675 MIRANDA DO NORTE,30.6,210675
569,210680 MIRINZAL,32.1,210680
570,210690 MONCAO,28.4,210690
571,210700 MONTES ALTOS,32.2,210700
572,210710 MORROS,28.4,210710
573,210720 NINA RODRIGUES,26.6,210720
574,210725 NOVA COLINAS,31.4,210725
575,210730 NOVA IORQUE,33.6,210730
576,210735 NOVA OLINDA DO MARANHAO,30.3,210735
577,210740 OLHO D'AGUA DAS CUNHAS,33.3,210740
578,210745 OLINDA NOVA DO MARANHAO,30.2,210745
579,210750 PACO DO LUMIAR,31.8,210750
580,210760 PALMEIRANDIA,31.3,210760
581,210770 PARAIBANO,33.0,210770
582,210780 PARNARAMA,31.5,210780
583,210790 PASSAGEM FRANCA,31.5,210790
584,210800 PASTOS BONS,31.3,210800
585,210805 PAULINO NEVES,27.1,210805
586,210810 PAULO RAMOS,30.0,210810
587,210820 PEDREIRAS,33.3,210820
588,210825 PEDRO DO ROSARIO,27.4,210825
589,210830 PENALVA,29.0,210830
590,210840 PERI MIRIM,32.2,210840
591,210845 PERITORO,29.8,210845
592,210850 PINDARE-MIRIM,30.8,210850
593,210860 PINHEIRO,32.4,210860
594,210870 PIO XII,31.0,210870
595,210880 PIRAPEMAS,29.1,210880
596,210890 POCAO DE PEDRAS,34.1,210890
597,210900 PORTO FRANCO,31.5,210900
598,210905 PORTO RICO DO MARANHAO,35.8,210905
599,210910 PRESIDENTE DUTRA,32.2,210910
600,210920 PRESIDENTE JUSCELINO,27.0,210920
601,210923 PRESIDENTE MEDICI,30.5,210923
602,210927 PRESIDENTE SARNEY,28.9,210927
603,210930 PRESIDENTE VARGAS,28.1,210930
604,210940 PRIMEIRA CRUZ,28.4,210940
605,210945 RAPOSA,29.8,210945
606,210950 RIACHAO,32.4,210950
607,210955 RIBAMAR FIQUENE,31.6,210955
608,210960 ROSARIO,31.0,210960
609,210970 SAMBAIBA,33.5,210970
610,210975 SANTA FILOMENA DO MARANHAO,29.3,210975
611,210980 SANTA HELENA,29.6,210980
